iter	RMSE
0	655.3098933
1	628.2506156
2	603.8950789
3	578.2286567
4	555.0196147
5	532.8682938
6	511.9734629
7	492.1413659
8	473.2017375
9	455.0664838
10	437.2250803
11	421.2500795
12	407.5625637
13	393.5529366
14	381.155521
15	367.5302151
16	355.7441114
17	344.1273902
18	333.6624707
19	323.5573271
20	314.0315226
21	304.0819796
22	295.3020448
23	287.0393337
24	279.5231761
25	272.5612182
26	265.5608099
27	258.9404663
28	253.0832472
29	247.6440174
30	242.6078993
31	237.532005
32	232.4871875
33	228.0923447
34	224.0712515
35	220.3242376
36	216.3117324
37	212.8755958
38	209.5376941
39	206.3091213
40	203.323649
41	200.6431072
42	198.1571583
43	195.8194281
44	193.7695931
45	191.7039849
46	189.8711689
47	188.0690387
48	186.2671345
49	184.820904
50	183.3079254
51	181.9675765
52	180.601383
53	179.3366062
54	178.2452561
55	177.3645615
56	176.3715819
57	175.5404093
58	174.7570711
59	173.9985086
60	173.2136566
61	172.6707018
62	172.0741867
63	171.5680738
64	170.9716512
65	170.3746837
66	169.9758706
67	169.4582145
68	168.9830444
69	168.4494184
70	168.0528487
71	167.6534123
72	167.3438402
73	167.0454615
74	166.7107445
75	166.4212195
76	166.155273
77	165.8633114
78	165.6300166
79	165.3178507
80	165.1101209
81	164.8401901
82	164.6168837
83	164.3784609
84	164.2007169
85	164.0007112
86	163.832632
87	163.6183066
88	163.4844147
89	163.3596728
90	163.214554
91	163.0505926
92	162.9523456
93	162.8447467
94	162.6962021
95	162.5862165
96	162.4589921
97	162.3088631
98	162.1636471
99	162.0803994
100	161.9866293
101	161.8439111
102	161.7609671
103	161.6424613
104	161.5298277
105	161.4224898
106	161.285141
107	161.2063995
108	161.0918362
109	160.9877465
110	160.9005501
111	160.8228613
112	160.7148334
113	160.6106195
114	160.5616657
115	160.4280222
116	160.3685361
117	160.3027783
118	160.2072195
119	160.1232059
120	160.0006997
121	159.9090578
122	159.8102215
123	159.7507491
124	159.694152
125	159.6235873
126	159.5739419
127	159.4867402
128	159.4382851
129	159.3601235
130	159.3007067
131	159.2322495
132	159.1215782
133	159.0298027
134	158.9127365
135	158.7805105
136	158.7049169
137	158.6487065
138	158.5352067
139	158.4713653
140	158.399182
141	158.3097883
142	158.2301481
143	158.1664188
144	158.0976018
145	157.9932651
146	157.9103434
147	157.824376
148	157.7391963
149	157.6653891
150	157.6281117
151	157.5642549
152	157.5143272
153	157.4421099
154	157.3936278
155	157.300659
156	157.1846026
157	157.0954861
158	157.0260706
159	156.9317324
160	156.8490281
161	156.7485684
162	156.6685052
163	156.5806243
164	156.5401357
165	156.501042
166	156.4310393
167	156.2985746
168	156.1813864
169	156.1193187
170	156.0390544
171	155.9401687
172	155.8671893
173	155.7900533
174	155.6935752
175	155.5962497
176	155.4653072
177	155.3614238
178	155.2710017
179	155.2177136
180	155.1442572
181	155.0378325
182	154.9400303
183	154.8788692
184	154.8214857
185	154.7468558
186	154.6836411
187	154.6064672
188	154.4911761
189	154.3949338
190	154.3399916
191	154.2541029
192	154.1904533
193	154.1084976
194	154.0139417
195	153.9473527
196	153.9064304
197	153.8185375
198	153.7487491
199	153.6566101
200	153.5493508
201	153.4904784
202	153.4225944
203	153.3229699
204	153.236583
205	153.1632234
206	153.0723823
207	153.0043349
208	152.9118252
209	152.8152321
210	152.7615722
211	152.6729257
212	152.604931
213	152.529622
214	152.390062
215	152.3259179
216	152.2393329
217	152.1864151
218	152.1039471
219	152.0460033
220	151.9845422
221	151.9043297
222	151.8103472
223	151.6971232
224	151.611862
225	151.5602595
226	151.5118959
227	151.407665
228	151.2922983
229	151.23136
230	151.1372566
231	151.0617537
232	150.9769514
233	150.9037912
234	150.7877865
235	150.7102531
236	150.6237598
237	150.5135487
238	150.4175618
239	150.353395
240	150.2906512
241	150.1883883
242	150.1011916
243	150.0290317
244	149.9073646
245	149.8540345
246	149.7793785
247	149.6492245
248	149.5508305
249	149.4729322
250	149.411797
251	149.3320203
252	149.2833715
253	149.2033426
254	149.1467535
255	149.059891
256	148.9900187
257	148.9038322
258	148.856874
259	148.7693682
260	148.6870216
261	148.6248533
262	148.5542571
263	148.4825489
264	148.3463863
265	148.2515048
266	148.1904991
267	148.1352436
268	148.0450795
269	148.0036153
270	147.9415379
271	147.8889393
272	147.8312519
