iter	Passed	Remaining
401	17272	25694
402	17310	25642
403	17346	25590
404	17382	25536
405	17416	25481
406	17454	25431
407	17492	25381
408	17530	25330
409	17565	25277
410	17602	25225
411	17639	25174
412	17674	25121
413	17708	25065
414	17744	25013
415	17779	24959
416	17815	24906
417	17851	24855
418	17886	24802
419	17925	24754
420	17962	24703
421	17999	24653
422	18036	24602
423	18071	24549
424	18109	24501
425	18146	24451
426	18182	24399
427	18219	24349
428	18253	24295
429	18288	24243
430	18326	24194
431	18364	24145
432	18401	24095
433	18438	24046
434	18475	23997
435	18513	23949
436	18550	23899
437	18588	23850
438	18625	23802
439	18662	23752
440	18697	23700
441	18733	23649
442	18769	23599
443	18807	23551
444	18842	23500
445	18878	23450
446	18913	23398
447	18949	23348
448	18986	23299
449	19021	23248
450	19053	23194
451	19092	23147
452	19127	23097
453	19162	23046
454	19197	22994
455	19230	22941
456	19265	22891
457	19301	22841
458	19336	22791
459	19371	22740
460	19409	22693
461	19443	22641
462	19480	22593
463	19515	22543
464	19551	22494
465	19585	22443
466	19621	22394
467	19655	22343
468	19693	22297
469	19728	22247
470	19764	22198
471	19799	22148
472	19834	22099
473	19870	22050
474	19904	21999
475	19938	21949
476	19974	21901
477	20009	21851
478	20044	21802
479	20080	21753
480	20113	21702
481	20150	21655
482	20185	21606
483	20219	21556
484	20256	21509
485	20290	21460
486	20327	21412
487	20362	21364
488	20399	21317
489	20432	21266
490	20468	21218
491	20506	21173
492	20541	21124
493	20576	21076
494	20611	21027
495	20647	20980
496	20684	20934
497	20719	20885
498	20754	20837
499	20789	20789
500	20826	20743
501	20861	20695
502	20897	20648
503	20931	20599
504	20965	20550
505	21001	20503
506	21038	20457
507	21073	20409
508	21107	20361
509	21142	20312
510	21177	20265
511	21215	20220
512	21251	20174
513	21289	20129
514	21325	20083
515	21362	20038
516	21399	19992
517	21436	19946
518	21473	19901
519	21509	19854
520	21548	19811
521	21585	19766
522	21622	19720
523	21658	19674
524	21694	19628
525	21731	19582
526	21768	19538
527	21806	19493
528	21841	19446
529	21877	19400
530	21912	19354
531	21948	19307
532	21983	19261
533	22019	19215
534	22054	19169
535	22090	19123
536	22126	19077
537	22163	19032
538	22199	18987
539	22236	18942
540	22272	18896
541	22308	18851
542	22345	18806
543	22384	18763
544	22419	18717
545	22454	18670
546	22493	18627
547	22528	18581
548	22566	18538
549	22603	18493
550	22640	18449
551	22676	18403
552	22713	18360
553	22750	18315
554	22785	18269
555	22821	18224
556	22857	18179
557	22895	18135
558	22928	18088
559	22963	18042
560	22999	17997
561	23043	17959
562	23086	17919
563	23158	17902
564	23263	17911
565	23368	17918
566	23472	17924
567	23575	17930
568	23675	17933
569	23777	17937
570	23880	17941
571	23981	17944
572	24083	17947
573	24186	17950
574	24291	17954
575	24394	17957
576	24498	17959
577	24600	17961
578	24703	17962
579	24805	17962
580	24910	17964
581	25012	17964
582	25116	17964
583	25223	17967
584	25327	17967
585	25437	17971
586	25543	17971
587	25653	17974
588	25761	17976
589	25868	17976
590	25978	17978
591	26084	17977
592	26191	17976
593	26301	17977
594	26408	17975
595	26514	17972
596	26618	17968
597	26721	17962
598	26821	17955
599	26927	17951
600	27031	17945
601	27130	17936
602	27232	17929
603	27334	17921
604	27437	17914
605	27540	17905
606	27640	17895
607	27743	17887
608	27846	17878
609	27950	17869
610	28051	17859
611	28151	17847
612	28253	17836
613	28349	17822
614	28450	17810
615	28550	17797
616	28650	17784
617	28747	17769
618	28844	17753
619	28939	17737
620	29046	17727
621	29173	17729
622	29273	17714
623	29377	17701
624	29480	17688
625	29583	17674
626	29685	17660
627	29798	17651
628	29936	17657
629	30039	17642
630	30142	17626
631	30248	17612
632	30352	17597
633	30453	17580
634	30557	17564
635	30660	17547
636	30765	17531
637	30868	17514
638	30968	17495
639	31069	17476
640	31173	17458
641	31274	17439
642	31378	17421
643	31479	17401
644	31580	17381
645	31682	17361
646	31787	17343
647	31894	17325
648	31996	17304
649	32096	17282
650	32196	17260
651	32299	17239
652	32400	17217
653	32500	17194
654	32599	17170
655	32702	17148
656	32807	17127
657	32906	17103
658	33040	17097
659	33140	17072
660	33242	17048
661	33344	17025
662	33446	17000
663	33549	16976
664	33647	16950
665	33785	16943
666	33891	16920
667	33986	16891
668	34030	16837
669	34067	16779
670	34103	16721
671	34140	16663
672	34176	16605
673	34212	16547
674	34250	16490
675	34287	16433
676	34321	16375
677	34359	16318
678	34398	16261
679	34436	16205
680	34472	16147
681	34507	16090
682	34545	16033
683	34581	15976
684	34617	15919
685	34651	15860
686	34687	15803
687	34724	15747
688	34763	15691
689	34799	15634
690	34835	15577
691	34877	15523
692	34916	15467
693	34952	15411
694	34987	15354
695	35025	15298
696	35059	15241
697	35097	15185
698	35131	15128
699	35167	15071
700	35206	15016
701	35241	14960
702	35276	14903
703	35311	14846
704	35348	14791
705	35383	14734
706	35421	14679
707	35458	14623
708	35495	14568
709	35530	14512
710	35565	14456
711	35603	14401
712	35638	14345
713	35674	14289
714	35710	14234
715	35744	14178
716	35783	14123
717	35817	14067
718	35851	14011
719	35892	13958
720	35928	13903
721	35964	13847
722	36003	13793
723	36041	13739
724	36079	13685
725	36115	13630
726	36151	13575
727	36185	13519
728	36225	13466
729	36262	13412
730	36296	13356
731	36331	13301
732	36369	13247
733	36405	13193
734	36439	13138
735	36475	13083
736	36509	13028
737	36544	12973
738	36580	12919
739	36615	12864
740	36650	12810
741	36685	12755
742	36720	12701
743	36758	12647
744	36792	12593
745	36828	12539
746	36866	12486
747	36905	12433
748	36941	12379
749	36977	12325
750	37015	12272
751	37053	12219
752	37089	12166
753	37126	12112
754	37161	12059
755	37195	12004
756	37230	11951
757	37266	11897
758	37302	11844
759	37338	11791
760	37373	11737
761	37408	11684
762	37446	11631
763	37483	11578
764	37519	11525
765	37557	11473
766	37596	11421
767	37635	11369
768	37672	11316
769	37708	11263
770	37744	11210
771	37779	11157
772	37815	11105
773	37851	11052
774	37886	10999
775	37922	10946
776	37956	10893
777	37994	10841
778	38031	10789
779	38067	10736
780	38102	10684
781	38139	10632
782	38177	10580
783	38213	10528
784	38249	10476
785	38284	10423
786	38317	10370
787	38352	10318
788	38388	10266
789	38431	10215
790	38468	10164
791	38504	10112
792	38541	10060
793	38575	10008
794	38610	9956
795	38646	9904
796	38682	9852
797	38725	9802
798	38766	9752
799	38805	9701
800	38840	9649
